#Directory	PB2	PB1	PA	HA	NP	NA	MP	NS
H1N1	A/California/07/2009 EPI_ISL_376192	A/California/07/2009 EPI_ISL_376192	A/California/07/2009 EPI_ISL_376192	A/California/07/2009 EPI_ISL_376192	A/California/07/2009 EPI_ISL_376192	A/California/07/2009 EPI_ISL_376192	A/California/07/2009 EPI_ISL_376192	A/California/07/2009 EPI_ISL_376192 
H1N1_6b1a5a2	A/Saint-Petersburg/RII-4238S/2020 EPI_ISL_471341	A/Saint-Petersburg/RII-4238S/2020 EPI_ISL_471341	A/Saint-Petersburg/RII-4238S/2020 EPI_ISL_471341	A/Saint-Petersburg/RII-4238S/2020 EPI_ISL_471341	A/Saint-Petersburg/RII-4238S/2020 EPI_ISL_471341	A/Saint-Petersburg/RII-4238S/2020 EPI_ISL_471341	A/Saint-Petersburg/RII-4238S/2020 EPI_ISL_471341	A/Saint-Petersburg/RII-4238S/2020 EPI_ISL_471341
H1N1_6b1a5a2a1	A/Denmark/2135/2023 EPI_ISL_18815471	A/Denmark/2135/2023 EPI_ISL_18815471	A/Denmark/2135/2023 EPI_ISL_18815471	A/Denmark/2135/2023 EPI_ISL_18815471	A/Denmark/2135/2023 EPI_ISL_18815471	A/Denmark/2135/2023 EPI_ISL_18815471	A/Denmark/2135/2023 EPI_ISL_18815471	A/Denmark/2135/2023 EPI_ISL_18815471
H1N1_swine	A/swine/Germany/2022AI03311/2022 EPI_ISL_17646250	A/swine/Germany/2022AI03311/2022 EPI_ISL_17646250	A/swine/Germany/2022AI03311/2022 EPI_ISL_17646250	A/swine/Germany/2022AI03311/2022 EPI_ISL_17646250	A/swine/Germany/2022AI03311/2022 EPI_ISL_17646250	A/swine/Germany/2022AI03311/2022 EPI_ISL_17646250	A/swine/Germany/2022AI03311/2022 EPI_ISL_17646250	A/swine/Germany/2022AI03311/2022 EPI_ISL_17646250
H3N2_resistance	A/Perth/16/2009 EPI_ISL_31055	A/Perth/16/2009 EPI_ISL_31055	A/Perth/16/2009 EPI_ISL_31055	A/Perth/16/2009 EPI_ISL_31055	A/Perth/16/2009 EPI_ISL_31055	A/Perth/16/2009 EPI_ISL_31055	A/Perth/16/2009 EPI_ISL_31055	A/Perth/16/2009 EPI_ISL_31055
H3N2_3c2a1b1a	A/Denmark/2961/2022 EPI_ISL_13803394	A/Denmark/2961/2022 EPI_ISL_13803394	A/Denmark/2961/2022 EPI_ISL_13803394	A/Denmark/2961/2022 EPI_ISL_13803394	A/Denmark/2961/2022 EPI_ISL_13803394	A/Denmark/2961/2022 EPI_ISL_13803394	A/Denmark/2961/2022 EPI_ISL_13803394	A/Denmark/2961/2022 EPI_ISL_13803394
H3N2_3c2a1b2a2	A/Michigan/173/2020 EPI_ISL_965035	A/Michigan/173/2020 EPI_ISL_965035	A/Michigan/173/2020 EPI_ISL_965035	A/Michigan/173/2020 EPI_ISL_965035	A/Michigan/173/2020 EPI_ISL_965035	A/Michigan/173/2020 EPI_ISL_965035	A/Michigan/173/2020 EPI_ISL_965035	A/Michigan/173/2020 EPI_ISL_965035
H3N2_3c2a1b2a2a	A/Darwin/6/2021 EPI_ISL_17832065	A/Darwin/6/2021 EPI_ISL_17832065	A/Darwin/6/2021 EPI_ISL_17832065	A/Darwin/6/2021 EPI_ISL_17832065	A/Darwin/6/2021 EPI_ISL_17832065	A/Darwin/6/2021 EPI_ISL_17832065	A/Darwin/6/2021 EPI_ISL_17832065	A/Darwin/6/2021 EPI_ISL_17832065
H3N2_3C2a1b2a2a3a	A/Denmark/65/2021 EPI_ISL_9009478	A/Denmark/65/2021 EPI_ISL_9009478	A/Denmark/65/2021 EPI_ISL_9009478	A/Denmark/65/2021 EPI_ISL_9009478	A/Denmark/65/2021 EPI_ISL_9009478	A/Denmark/65/2021 EPI_ISL_9009478	A/Denmark/65/2021 EPI_ISL_9009478	A/Denmark/65/2021 EPI_ISL_9009478
H3N2_v	A/swine/Iowa/C39563/2022 EPI_ISL_14874535	A/swine/Iowa/C39563/2022 EPI_ISL_14874535	A/swine/Iowa/C39563/2022 EPI_ISL_14874535	A/swine/Iowa/C39563/2022 EPI_ISL_14874535	A/swine/Iowa/C39563/2022 EPI_ISL_14874535	A/swine/Iowa/C39563/2022 EPI_ISL_14874535	A/swine/Indiana/21TOSU0876/2021 EPI_ISL_18005788	A/swine/Indiana/21TOSU0876/2021	EPI_ISL_18005788
